,parameter,count,doi
0,expanse (exploration of patterns in near-optimal energy scenarios),1,'10.1016/j.apenergy.2019.113724'
1, modeling to generate alternatives (mga) method,1,'10.1016/j.apenergy.2019.113724'
2, slack compared to least-cost,1,'10.1016/j.apenergy.2019.113724'
3, pareto frontier,1,'10.1016/j.apenergy.2019.113724'
4, near-optimal scenarios,1,'10.1016/j.apenergy.2019.113724'
5, policies as constraints,1,'10.1016/j.apenergy.2019.113724'
6, spatial constraints (maximal regional equity by population vs. demand),1,'10.1016/j.apenergy.2019.113724'
7,direct cost calculation,1,'10.1016/j.enpol.2021.112205'
8, health and economic effects estimation (with exposure-response functions),1,'10.1016/j.enpol.2021.112205'
9, net cost-benefit estimation,1,'10.1016/j.enpol.2021.112205'
10,arcgis (two-mile radius),1,'10.1080/13549839.2021.1916899'
