,parameter,count,doi
0, energy poverty,2,"'10.1016/j.apenergy.2019.113724', '10.1080/13549839.2021.1916899'"
1,ratio of working age population,1,'10.1016/j.rser.2020.110610'
2,social vulnerability,1,'10.1016/j.erss.2017.09.035'
3, fuel poverty,1,'10.1016/j.erss.2017.09.035'
4, lihc (low income high cost),1,'10.1016/j.erss.2017.09.035'
5, disadvantaged communities with 5% of highest pollution/exposure or 25% highest ces score (sensitivity plus exposure) precentage of census tracts with certain ces score (sensitivity plus exposure),1,'10.1016/j.enpol.2019.110935'
6,correlation coefficients,1,'10.1016/j.ref.2022.02.002'
7,ground water and drinking water pollution,1,'10.1016/j.landusepol.2017.10.021'
8, wastes and wastewater from fracking,1,'10.1016/j.landusepol.2017.10.021'
9, co4 leakage from fracking,1,'10.1016/j.landusepol.2017.10.021'
10, concentration of methane in drinking water wells,1,'10.1016/j.landusepol.2017.10.021'
11, occurrences of upper respiratory and dermatologic problems,1,'10.1016/j.landusepol.2017.10.021'
12, frequency of seismicitiy in fracking areas,1,'10.1016/j.landusepol.2017.10.021'
13, land cover,1,'10.1016/j.landusepol.2017.10.021'
14, public health effects,1,'10.1016/j.landusepol.2017.10.021'
15, landscape degradation,1,'10.1016/j.landusepol.2017.10.021'
16, environmental pollution,1,'10.1016/j.landusepol.2017.10.021'
17, groundwater consuption,1,'10.1016/j.landusepol.2017.10.021'
18, air pollution,1,'10.1016/j.landusepol.2017.10.021'
19, soil pollution,1,'10.1016/j.landusepol.2017.10.021'
20, revenue distribution,1,'10.1016/j.landusepol.2017.10.021'
21, royalty distribution,1,'10.1016/j.landusepol.2017.10.021'
22,  community security,1,'10.1016/j.landusepol.2017.10.021'
23, local education,1,'10.1016/j.landusepol.2017.10.021'
24, land use,1,'10.1016/j.landusepol.2017.10.021'
25, distances from fracking sites to communities,1,'10.1016/j.landusepol.2017.10.021'
26, employment,1,'10.1016/j.landusepol.2017.10.021'
27,landscape change,1,'10.1016/j.polgeo.2021.102544'
28, loss ob biodiversity,1,'10.1016/j.polgeo.2021.102544'
29, noise impact,1,'10.1016/j.polgeo.2021.102544'
30, fine particle concentration,1,'10.1016/j.polgeo.2021.102544'
31, surface and ground water use,1,'10.1016/j.polgeo.2021.102544'
32, waste generation,1,'10.1016/j.polgeo.2021.102544'
33, public health impacts,1,'10.1016/j.polgeo.2021.102544'
34, ecological footprint per capita,1,'10.1016/j.polgeo.2021.102544'
35, carbon emissions,1,'10.1016/j.polgeo.2021.102544'
36, carbon intensiveness of construction,1,'10.1016/j.polgeo.2021.102544'
37, conversion efficiency of appliances,1,'10.1016/j.polgeo.2021.102544'
38, ressource-invensiveness,1,'10.1016/j.polgeo.2021.102544'
39, land use intensiveness,1,'10.1016/j.polgeo.2021.102544'
40, soil hydrology impacts,1,'10.1016/j.polgeo.2021.102544'
41, loss of high-paid jobs,1,'10.1016/j.polgeo.2021.102544'
42, wage degreases,1,'10.1016/j.polgeo.2021.102544'
43, employment effects,1,'10.1016/j.polgeo.2021.102544'
44, migration effects on skilled labour,1,'10.1016/j.polgeo.2021.102544'
45, secondary effects on other industries (tourism/marine shipping/agriculture),1,'10.1016/j.polgeo.2021.102544'
46, socialized economic risks,1,'10.1016/j.polgeo.2021.102544'
47, shifted environmental burdens (eg. into other country),1,'10.1016/j.polgeo.2021.102544'
48, energy independence,1,'10.1016/j.polgeo.2021.102544'
49, security of supply,1,'10.1016/j.polgeo.2021.102544'
50,regional equity by population,1,'10.1016/j.apenergy.2019.113724'
51, job creation,1,'10.1016/j.apenergy.2019.113724'
52, environmental externalities,1,'10.1016/j.apenergy.2019.113724'
53, electricity generation per capita,1,'10.1016/j.apenergy.2019.113724'
54, electricity generation costs,1,'10.1016/j.apenergy.2019.113724'
55, electricity generation cost,1,'10.1016/j.apenergy.2019.113724'
56,regression coefficients,1,'10.3390/ijerph18020620'
57, energy burden,1,'10.3390/ijerph18020620'
58, spatial distribution of energy vulnerability,1,'10.3390/ijerph18020620'
59,distributional employment impacts: wages,1,'10.1016/j.enpol.2021.112158'
60, economic inequality,1,'10.1016/j.enpol.2021.112158'
61, spatial distribution,1,'10.1016/j.enpol.2021.112158'
62, job gains and losses,1,'10.1016/j.enpol.2021.112158'
63, land loss/acquisation,1,'10.1016/j.enpol.2021.112158'
64, lost of livelihoods without compensation in the process of setting up new solar power plants,1,'10.1016/j.enpol.2021.112158'
65,air pollutants,1,'10.1080/13549839.2021.1916899'
66, asthma hospitalisations,1,'10.1080/13549839.2021.1916899'
67, neighbourhood deficit score (nds),1,'10.1080/13549839.2021.1916899'
68, neighbourhood asset score (nas),1,'10.1080/13549839.2021.1916899'
69, environmental burden,1,'10.1080/13549839.2021.1916899'
70, percent poverty,1,'10.1080/13549839.2021.1916899'
71, level of a pollutant,1,'10.1080/13549839.2021.1916899'
72, social vulnerability index (svi),1,'10.1080/13549839.2021.1916899'
73,household energy vulnerability index (hevi),1,'10.3390/su12155904'
