,parameter,count,doi
0, education,4,"'10.1016/j.enpol.2021.112444', '10.1016/j.jclepro.2019.119626', '10.3390/ijerph18020620', '10.1016/j.erss.2020.101451'"
1, income,4,"'10.1016/j.enpol.2021.112444', '10.1007/s10584-017-2094-x', '10.1016/j.erss.2020.101451', '10.1016/j.enpol.2021.112205'"
2, unemployment,4,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1007/s10098-022-02278-1', '10.1080/13549839.2021.1916899'"
3, poverty,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1007/s10098-022-02278-1'"
4, energy burden,3,"'10.1016/j.ref.2022.02.002', '10.3390/ijerph18020620', '10.1080/13549839.2021.1916899'"
5, housing burden,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
6, ozone concentration,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
7, traffic proximity and volume,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
8, energy poverty,2,"'10.1016/j.ecolecon.2022.107456', '10.1080/13549839.2021.1916899'"
9,fuel poverty,1,'10.1016/j.enpol.2021.112444'
10, emplyoment status,1,'10.1016/j.enpol.2021.112444'
11, problems to afford housing,1,'10.1016/j.enpol.2021.112444'
12, dampness in dwelling,1,'10.1016/j.enpol.2021.112444'
13, darkness in dwelling,1,'10.1016/j.enpol.2021.112444'
14, ownership,1,'10.1016/j.enpol.2021.112444'
15, gender,1,'10.1016/j.enpol.2021.112444'
16, health,1,'10.1016/j.enpol.2021.112444'
17, place of living (region),1,'10.1016/j.enpol.2021.112444'
18, double glazing,1,'10.1016/j.enpol.2021.112444'
19, single-parent,1,'10.1016/j.enpol.2021.112444'
20,costs of energy,1,'10.1016/j.erss.2018.05.026'
21, inclusion in planning processes,1,'10.1016/j.erss.2018.05.026'
22, profiteers,1,'10.1016/j.erss.2018.05.026'
23, potential energy shortages,1,'10.1016/j.erss.2018.05.026'
24, competitiveness,1,'10.1016/j.erss.2018.05.026'
25, benefit for future generations,1,'10.1016/j.erss.2018.05.026'
26, trust in utilities,1,'10.1016/j.erss.2018.05.026'
27, trust in research/ non-governmental/ nonprofit organizations energy independence,1,'10.1016/j.erss.2018.05.026'
28,employent numbers,1,'10.1016/j.rser.2020.110610'
29, working-age,1,'10.1016/j.rser.2020.110610'
30, employment factor ,1,'10.1016/j.rser.2020.110610'
31,households energy efficiency,1,'10.1016/j.erss.2017.09.035'
32,  fuel costs,1,'10.1016/j.erss.2017.09.035'
33, property size,1,'10.1016/j.erss.2017.09.035'
34, number of people,1,'10.1016/j.erss.2017.09.035'
35, after housing cost,1,'10.1016/j.erss.2017.09.035'
36, fuel mix,1,'10.1016/j.erss.2017.09.035'
37, national income threshold,1,'10.1016/j.erss.2017.09.035'
38, fuel cost threshold,1,'10.1016/j.erss.2017.09.035'
39,total number of pv installations,1,'10.1016/j.enpol.2019.110935'
40, total installed capacity,1,'10.1016/j.enpol.2019.110935'
41, educational attainment,1,'10.1016/j.enpol.2019.110935'
42, linguistic isolation,1,'10.1016/j.enpol.2019.110935'
43, asthma emergency room visits,1,'10.1016/j.enpol.2019.110935'
44, cardiovascular disease emergency room visits,1,'10.1016/j.enpol.2019.110935'
45, percent low birthweight births,1,'10.1016/j.enpol.2019.110935'
46, ozone concentrations,1,'10.1016/j.enpol.2019.110935'
47, pm2.5 concentrations,1,'10.1016/j.enpol.2019.110935'
48, diesel pm emissions,1,'10.1016/j.enpol.2019.110935'
49, drinking water contamination,1,'10.1016/j.enpol.2019.110935'
50, pesticide use,1,'10.1016/j.enpol.2019.110935'
51, toxic releases,1,'10.1016/j.enpol.2019.110935'
52, traffic density,1,'10.1016/j.enpol.2019.110935'
53, cleanup sites,1,'10.1016/j.enpol.2019.110935'
54, groundwater threats,1,'10.1016/j.enpol.2019.110935'
55, hazardous waste,1,'10.1016/j.enpol.2019.110935'
56, impaired water bodies,1,'10.1016/j.enpol.2019.110935'
57, solid waste sites,1,'10.1016/j.enpol.2019.110935'
58, median household income for each census tract,1,'10.1016/j.enpol.2019.110935'
59, solar irradiance,1,'10.1016/j.enpol.2019.110935'
60, median household income,1,'10.1016/j.enpol.2019.110935'
61, electricity rates,1,'10.1016/j.enpol.2019.110935'
62, percentage of disadvantaged communities per area,1,'10.1016/j.enpol.2019.110935'
63, pv installations over time,1,'10.1016/j.enpol.2019.110935'
64, population density,1,'10.1016/j.enpol.2019.110935'
65, housing costs,1,'10.1016/j.enpol.2019.110935'
66, geospatial granularity,1,'10.1016/j.enpol.2019.110935'
67,less than high school education,1,'10.1016/j.ref.2022.02.002'
68, low-income,1,'10.1016/j.ref.2022.02.002'
69, minority,1,'10.1016/j.ref.2022.02.002'
70, air toxics cancer risk,1,'10.1016/j.ref.2022.02.002'
71, air toxics respiratory hazard index,1,'10.1016/j.ref.2022.02.002'
72, diesel particulate matter (pm),1,'10.1016/j.ref.2022.02.002'
73, pm2.5 concentration,1,'10.1016/j.ref.2022.02.002'
74, lead paint indicator,1,'10.1016/j.ref.2022.02.002'
75, proximity to risk management plan facilities,1,'10.1016/j.ref.2022.02.002'
76, proximity to treatment/storage/disposal facilities,1,'10.1016/j.ref.2022.02.002'
77, proximity to national priorities list sites,1,'10.1016/j.ref.2022.02.002'
78, wastewater discharge indicator,1,'10.1016/j.ref.2022.02.002'
79,  employment in mining/quarrying/o&g extraction,1,'10.1016/j.ref.2022.02.002'
80, farming-dependent counties,1,'10.1016/j.ref.2022.02.002'
81, persistent-poverty counties,1,'10.1016/j.ref.2022.02.002'
82, rural-urban continuum code,1,'10.1016/j.ref.2022.02.002'
83, technical generation potential for pv and wind,1,'10.1016/j.ref.2022.02.002'
84, levelized cost of energy for pv/wind/geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
85, capital cost for geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
86, utility service area,1,'10.1016/j.ref.2022.02.002'
87, cost savings estimates for solar-plus-storage,1,'10.1016/j.ref.2022.02.002'
88,energy consumption for basic human needs,1,'10.1016/j.erss.2021.102075'
89, resource scarcity eefect on technology cost,1,'10.1016/j.erss.2021.102075'
90, learning effect on cost of technology,1,'10.1016/j.erss.2021.102075'
91, electricity generation technology cost of installed capacity,1,'10.1016/j.erss.2021.102075'
92,urban and rural population,1,'10.1016/j.apenergy.2020.114749'
93, price modifications using equity and equality principles,1,'10.1016/j.apenergy.2020.114749'
94,gender,1,'10.1016/j.jclepro.2019.119626'
95, region,1,'10.1016/j.jclepro.2019.119626'
96, average wage,1,'10.1016/j.jclepro.2019.119626'
97,capacity requirements,1,'10.1016/j.apenergy.2019.113724'
98, slack to least-cost solution,1,'10.1016/j.apenergy.2019.113724'
99,inequality aversion,1,'10.1007/s10584-017-2094-x'
100, time preference,1,'10.1007/s10584-017-2094-x'
101, catastrophic damages,1,'10.1007/s10584-017-2094-x'
102, intragenerational distribution of damages,1,'10.1007/s10584-017-2094-x'
103, intragenerational abatement costs,1,'10.1007/s10584-017-2094-x'
104,percent of non-white (percent of population in the municipality that is nonwhite),1,'10.1016/j.envsci.2021.04.004'
105, income (median household income value),1,'10.1016/j.envsci.2021.04.004'
106, linguistic isolation (percent of population living in a household where all members age 14+ speak a non-english language and also speak english less than “very well”),1,'10.1016/j.envsci.2021.04.004'
107, education (percent of population age 25+ who did not receive a high school diploma or the equivalent),1,'10.1016/j.envsci.2021.04.004'
108, youth in poverty (percent of population under the age of 5 living below the federal poverty level),1,'10.1016/j.envsci.2021.04.004'
109, elderly in poverty (percent of population over the age of 64 living below the federal poverty level),1,'10.1016/j.envsci.2021.04.004'
110,number of registered domestic biogas digesters,1,'10.1186/s13705-017-0111-6'
111, distance to nearest district headquarters,1,'10.1186/s13705-017-0111-6'
112, share of population made up of women,1,'10.1186/s13705-017-0111-6'
113, share of population categorised as marginalised,1,'10.1186/s13705-017-0111-6'
114, share of households with no household appliances,1,'10.1186/s13705-017-0111-6'
115,building conditions,1,'10.1016/j.ecolecon.2022.107456'
116, education level,1,'10.1016/j.ecolecon.2022.107456'
117, carreer field,1,'10.1016/j.ecolecon.2022.107456'
118, percentage of income for energy expenditures,1,'10.1016/j.ecolecon.2022.107456'
119, number of rooms,1,'10.1016/j.ecolecon.2022.107456'
120, heating cost,1,'10.1016/j.ecolecon.2022.107456'
121, safety performance,1,'10.1016/j.ecolecon.2022.107456'
122, income level,1,'10.1016/j.ecolecon.2022.107456'
123, energy subsidy satisfaction,1,'10.1016/j.ecolecon.2022.107456'
124, energy upgrade awareness,1,'10.1016/j.ecolecon.2022.107456'
125,age-adjusted premature mortality,1,'10.3390/ijerph18020620'
126, self-reported health,1,'10.3390/ijerph18020620'
127, life expectancy,1,'10.3390/ijerph18020620'
128, social capital,1,'10.3390/ijerph18020620'
129, environmental quality,1,'10.3390/ijerph18020620'
130, pm2.5 or particulate matter,1,'10.3390/ijerph18020620'
131, income inequality,1,'10.3390/ijerph18020620'
132, inadequate housing,1,'10.3390/ijerph18020620'
133, overcrowded housing,1,'10.3390/ijerph18020620'
134, housing without kitchen or plumbing,1,'10.3390/ijerph18020620'
135, number of associations per capita,1,'10.3390/ijerph18020620'
136, voter turnout,1,'10.3390/ijerph18020620'
137, non-profit organisations without international focus,1,'10.3390/ijerph18020620'
138, percent of non-hispanic back,1,'10.3390/ijerph18020620'
139, healthy food access,1,'10.3390/ijerph18020620'
140, access to physicians,1,'10.3390/ijerph18020620'
141, area median income (ami),1,'10.3390/ijerph18020620'
142, percentage of low- to medium income households,1,'10.3390/ijerph18020620'
143,distributional employment impacts,1,'10.1016/j.enpol.2021.112158'
144, closing of thermal plants and mining and deployment of  pv,1,'10.1016/j.enpol.2021.112158'
145, job loss and gains,1,'10.1016/j.enpol.2021.112158'
146, land loss,1,'10.1016/j.enpol.2021.112158'
147,resources,1,'10.1016/j.erss.2020.101451'
148, household properties,1,'10.1016/j.erss.2020.101451'
149, spatial distribution of properties,1,'10.1016/j.erss.2020.101451'
150, distribution of resources among the population,1,'10.1016/j.erss.2020.101451'
151,energy justice criteria and indicators,1,'10.1109/GHTC46095.2019.9033126'
152, social acceptance,1,'10.1109/GHTC46095.2019.9033126'
153, local participation,1,'10.1109/GHTC46095.2019.9033126'
154, livelihood and cultural heritage protection,1,'10.1109/GHTC46095.2019.9033126'
155, job factor,1,'10.1109/GHTC46095.2019.9033126'
156, economic inflow factors,1,'10.1109/GHTC46095.2019.9033126'
157,labour rights,1,'10.1007/s10098-022-02278-1'
158, child labour,1,'10.1007/s10098-022-02278-1'
159, forced labour,1,'10.1007/s10098-022-02278-1'
160, excessive working time,1,'10.1007/s10098-022-02278-1'
161, wage assessment,1,'10.1007/s10098-022-02278-1'
162, migrant labour,1,'10.1007/s10098-022-02278-1'
163, freedom of association,1,'10.1007/s10098-022-02278-1'
164, labour laws,1,'10.1007/s10098-022-02278-1'
165, injuries,1,'10.1007/s10098-022-02278-1'
166, toxics,1,'10.1007/s10098-022-02278-1'
167, hazards,1,'10.1007/s10098-022-02278-1'
168, human rights,1,'10.1007/s10098-022-02278-1'
169, indigenous rights,1,'10.1007/s10098-022-02278-1'
170, conflicts,1,'10.1007/s10098-022-02278-1'
171, gender equality,1,'10.1007/s10098-022-02278-1'
172, human health,1,'10.1007/s10098-022-02278-1'
173, governance,1,'10.1007/s10098-022-02278-1'
174, legal systems,1,'10.1007/s10098-022-02278-1'
175, corruption,1,'10.1007/s10098-022-02278-1'
176, community infrastructure,1,'10.1007/s10098-022-02278-1'
177, medical facilities,1,'10.1007/s10098-022-02278-1'
178, drinking water,1,'10.1007/s10098-022-02278-1'
179, sanitation,1,'10.1007/s10098-022-02278-1'
180, children education,1,'10.1007/s10098-022-02278-1'
181, degree of social deprivation,1,'10.1007/s10098-022-02278-1'
182, access to potable water,1,'10.1007/s10098-022-02278-1'
183, access to electricity,1,'10.1007/s10098-022-02278-1'
184, electricity price,1,'10.1007/s10098-022-02278-1'
185, affordability,1,'10.1007/s10098-022-02278-1'
186, job creation,1,'10.1007/s10098-022-02278-1'
187, direct permanent jobs,1,'10.1007/s10098-022-02278-1'
188,location and orientation of the building,1,'10.1177/1420326X17713071'
189, adaptive comfort,1,'10.1177/1420326X17713071'
190, calculated demand,1,'10.1177/1420326X17713071'
191,clean heating subsidies,1,'10.1016/j.enpol.2021.112205'
192, cost of residents,1,'10.1016/j.enpol.2021.112205'
193, total cost of heating operation,1,'10.1016/j.enpol.2021.112205'
194, heating costs,1,'10.1016/j.enpol.2021.112205'
195, equipment purchase,1,'10.1016/j.enpol.2021.112205'
196, relative risk of particulate matter (pm),1,'10.1016/j.enpol.2021.112205'
197,electricity and heat prices,1,'10.1016/j.enpol.2021.112265'
198,diesel particulate matter,1,'10.1080/13549839.2021.1916899'
199, ozone,1,'10.1080/13549839.2021.1916899'
200, particulate matter (pm2.5),1,'10.1080/13549839.2021.1916899'
201, asthma hospitalisations,1,'10.1080/13549839.2021.1916899'
202, high school education,1,'10.1080/13549839.2021.1916899'
203, households with no vehicle,1,'10.1080/13549839.2021.1916899'
204, basic energy needs,1,'10.1080/13549839.2021.1916899'
205, number of schools,1,'10.1080/13549839.2021.1916899'
206, number of hospitals,1,'10.1080/13549839.2021.1916899'
207, grocery stores,1,'10.1080/13549839.2021.1916899'
208, number of libraries,1,'10.1080/13549839.2021.1916899'
209, number of churches,1,'10.1080/13549839.2021.1916899'
210, community centres,1,'10.1080/13549839.2021.1916899'
211, parky,1,'10.1080/13549839.2021.1916899'
212, light rails transit stops,1,'10.1080/13549839.2021.1916899'
213, percent poverty,1,'10.1080/13549839.2021.1916899'
