,parameter,count,doi
0, income,8,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2021.102455', '10.1016/j.enpol.2019.110935', '10.1007/s10584-017-2094-x', '10.1016/j.envsci.2021.04.004', '10.1002/ente.202000668', '10.1016/j.erss.2020.101451', '10.1016/j.enpol.2021.112205'"
1, education,6,"'10.1016/j.enpol.2021.112444', '10.1016/j.enpol.2019.110935', '10.1016/j.jclepro.2019.119626', '10.1002/ente.202000668', '10.3390/ijerph18020620', '10.1016/j.erss.2020.101451'"
2, energy burden,6,"'10.1007/s10584-019-02521-7', '10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620', '10.1080/13549839.2021.1916899'"
3, home ownership,4,"'10.1007/s10584-019-02521-7', '10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.3390/su12155904'"
4, unemployment,4,"'10.1016/j.enpol.2019.110935', '10.1016/j.ref.2022.02.002', '10.1007/s10098-022-02278-1', '10.1080/13549839.2021.1916899'"
5, gender,3,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2018.08.005', '10.1002/ente.202000668'"
6, health,3,"'10.1016/j.enpol.2021.112444', '10.1016/j.erss.2017.09.035', '10.1016/j.envsci.2021.04.004'"
7, poverty,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935', '10.1007/s10098-022-02278-1'"
8, population density,3,"'10.1016/j.enpol.2019.110935', '10.1016/j.apenergy.2019.113724', '10.1002/ente.202000668'"
9, energy bills,2,"'10.1016/j.enbuild.2018.07.010', '10.3390/ijerph18020620'"
10, wealth,2,"'10.1016/j.erss.2018.08.005', '10.3390/ijerph18020620'"
11, household size,2,"'10.1016/j.erss.2017.09.035', '10.1002/ente.202000668'"
12,income,2,"'10.1007/s10584-019-02521-7', '10.1016/j.landusepol.2017.10.021'"
13, housing burden,2,"'10.1016/j.enpol.2019.110935', '10.1016/j.enpol.2019.110935'"
14, age,2,"'10.1016/j.enpol.2019.110935', '10.1002/ente.202000668'"
15, race,2,"'10.1016/j.enpol.2019.110935', '10.3390/ijerph18020620'"
16, ozone concentration,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
17, traffic proximity and volume,2,"'10.1016/j.ref.2022.02.002', '10.1080/13549839.2021.1916899'"
18, life expectancy,2,"'10.1002/ente.202000668', '10.3390/ijerph18020620'"
19, energy poverty,2,"'10.3390/ijerph18020620', '10.1080/13549839.2021.1916899'"
20, gender equality,2,"'10.1007/s10098-022-02278-1', '10.1007/s10098-022-02278-1'"
21,occupancy (low,1,'10.1016/j.enbuild.2018.07.010'
22, moderate,1,'10.1016/j.enbuild.2018.07.010'
23, high),1,'10.1016/j.enbuild.2018.07.010'
24, behavioural energy use patterns,1,'10.1016/j.enbuild.2018.07.010'
25, indoor issues (damp,1,'10.1016/j.enbuild.2018.07.010'
26, mold,1,'10.1016/j.enbuild.2018.07.010'
27, condensation),1,'10.1016/j.enbuild.2018.07.010'
28, indoor thermal comfort,1,'10.1016/j.enbuild.2018.07.010'
29, indoor air temperature,1,'10.1016/j.enbuild.2018.07.010'
30, relative humidity,1,'10.1016/j.enbuild.2018.07.010'
31,passive systems,1,'10.1016/j.enpol.2020.111256'
32, building materials,1,'10.1016/j.enpol.2020.111256'
33, ability to find strategies for heating/cooling,1,'10.1016/j.enpol.2020.111256'
34, psychological factors,1,'10.1016/j.enpol.2020.111256'
35,fuel poverty,1,'10.1016/j.enpol.2021.112444'
36, emplyoment status,1,'10.1016/j.enpol.2021.112444'
37, problems to afford housing,1,'10.1016/j.enpol.2021.112444'
