,parameter,count,doi
0,energy affordability,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2021.102075'"
1,job creation,2,"'10.1016/j.apenergy.2019.113724', '10.1007/s10098-022-02278-1'"
2,human health,2,"'10.1002/ente.202000668', '10.1007/s10098-022-02278-1'"
3,(control over one’s environment,2,"'10.1016/j.erss.2020.101451', '10.1016/j.erss.2020.101451'"
4,gender equality,2,"'10.1007/s10098-022-02278-1', '10.1007/s10098-022-02278-1'"
5, fuel poverty,1,'10.1016/j.enbuild.2018.07.010'
6,death due to energy thefts,1,'10.1016/j.enpol.2020.111256'
7,ratio of working age population,1,'10.1016/j.rser.2020.110610'
8,access to and influence over decision-making processes (meaningful participation,1,'10.1016/j.erss.2018.08.005'
9,procedural justice),1,'10.1016/j.erss.2018.08.005'
10,distribution of risks and benefits,1,'10.1016/j.erss.2018.08.005'
11,wealth,1,'10.1016/j.erss.2018.08.005'
12,time and money to influence processes,1,'10.1016/j.erss.2018.08.005'
13,employment for only a small portion of the population,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
14,new tenancy payments that only benefits certain farmers and one-way community benefits enjoyed by local governments have established hierarchies of power that break with reciprocal relationships in these communities,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
15,decline of indigenous traditions,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
16,attitudes towards wind farms as a result of how people (indigenous communties) and the jegemonic worldviews of energy developers are exercised,1,'https://doi.org/10.1016/j.worlddev.2021.105725'
17,social vulnerability,1,'10.1016/j.erss.2017.09.035'
18,creation of jobs,1,'10.1007/s10584-019-02521-7'
19,inter-generational shift of costs,1,'10.1007/s10584-019-02521-7'
20,job loss,1,'10.1007/s10584-019-02521-7'
21,concentration of jobs,1,'10.1007/s10584-019-02521-7'
22,impacts on property prices,1,'10.1007/s10584-019-02521-7'
23,need to relocate at job-loss,1,'10.1007/s10584-019-02521-7'
24,burden on households due to industry discounts,1,'10.1007/s10584-019-02521-7'
25,distribution of environmental harms in the supply line,1,'10.1007/s10584-019-02521-7'
