,parameter,count,doi
0,energy burden,4,"'10.1016/j.enbuild.2018.07.010', '10.1016/j.ecolecon.2022.107456', '10.3390/ijerph18020620', '10.1016/j.enpol.2021.112205'"
1,energy poverty,4,"'10.1016/j.apenergy.2019.113724', '10.1016/j.ecolecon.2022.107456', '10.1016/j.enpol.2021.112205', '10.1080/13549839.2021.1916899'"
2,fuel poverty,3,"'10.1016/j.enpol.2020.111256', '10.1016/j.enpol.2021.112444', '10.1016/j.erss.2017.09.035'"
3,thermal comfort,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.enpol.2021.112265'"
4,energy affordability,2,"'10.1016/j.enpol.2020.111256', '10.1016/j.erss.2021.102075'"
5,job creation,2,"'10.1016/j.apenergy.2019.113724', '10.1007/s10098-022-02278-1'"
6,human health,2,"'10.1002/ente.202000668', '10.1007/s10098-022-02278-1'"
7,(control over one’s environment,2,"'10.1016/j.erss.2020.101451', '10.1016/j.erss.2020.101451'"
8,gender equality,2,"'10.1007/s10098-022-02278-1', '10.1007/s10098-022-02278-1'"
9,affordability,2,"'10.1007/s10098-022-02278-1', '10.1016/j.enpol.2021.112265'"
10, fuel poverty,1,'10.1016/j.enbuild.2018.07.010'
11,death due to energy thefts,1,'10.1016/j.enpol.2020.111256'
12,income poverty,1,'10.1016/j.enpol.2021.112444'
13,acceptance,1,'10.1016/j.erss.2018.05.026'
14,attitude towards renewable energy technologie,1,'10.1016/j.erss.2018.05.026'
15,trust in local stakeholders,1,'10.1016/j.erss.2018.05.026'
16,fairness,1,'10.1016/j.erss.2018.05.026'
17,trust in research/ non-governmental/ nonprofit organizations,1,'10.1016/j.erss.2018.05.026'
18,regional added value,1,'10.1016/j.erss.2018.05.026'
19,ratio of working age population,1,'10.1016/j.rser.2020.110610'
20,employment numbers,1,'10.1016/j.rser.2020.110610'
21,gini coefficient,1,'10.1016/j.rser.2020.110610'
22,access to and influence over decision-making processes (meaningful participation,1,'10.1016/j.erss.2018.08.005'
23,procedural justice),1,'10.1016/j.erss.2018.08.005'
